Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
अम्बा,ambaa,feminine,"अम्बा [ambā], [अम्ब्-घञ्] (Voc. अम्बे Ved.; अम्ब in later Sanskṛit)","माता,भद्र महिला,भद्र माता"
अभिनन्द,abhinanda,masculine,"अभिनन्द [abhinanda], a. That which delights, encourages, praises &c.","प्रहर्ष,प्रफुल्लता,प्रसन्नता"
भौजिष्य,bhaujishya,masculine,"भौजिष्यम् [bhaujiṣyam], Slavery, servitude.","दासता, सेवकत्व"
जनित,janita,adjective,"जनित [janita], a. [जन्-णिच्-क्त]",जिसे जन्म दिया गया है
कैशिक,kaishika,adjective,"कैशिक [kaiśika], a. (-की f.) [केश-ठक्] Hairlike, fine as hair. -कः The sentiment of love, lust. -कम् A quantity of hair; कपटकैशिकभूषितमल्लिका Rām. Ch.4.37. -की One of the four varieties of dramatic st...","बालों के समान, बालों की भाँति सुन्दर"
मृण्,mrin,unknown,"मृण् [mṛṇ], 6 P. (मृणति) To kill, slay, destroy.","वध करना, हत्या करना, नष्ट करना"
व्यावर्जित,vyaavarjita,adjective,"व्यावर्जित [vyāvarjita], p. p. Bent; ऊरुवातविनर्भग्ना द्रुमा व्यावर्जिताः पथि Mb.3.179.52.",झुका हुआ
वटिक,vatika,masculine,"वटिकः [vaṭikḥ], A pawn at chess.",शतरंज का मोहरा’
अव्यग्र,avyagra,indeclinable,"अव्यग्र [avyagra], a.","अक्षुब्ध,अनाकुल,स्थिर,शान्त"
चर्ममय,charmamaya,adjective,"चर्ममय [carmamaya], a. Leathern.","चमड़े का, चमड़े का बना हुआ"
हला,halaa,feminine,"हला [halā], 1 A female friend.","सखी, सहेली"
अवाञ्चित,avaanychita,adjective,"अवाञ्चित [avāñcita], a. Turned, bent downwards; तृणवाञ्च्छया मुहुरवाञ्चितान् Śi.","झुका हुआ, नीचा ।"
लय,laya,masculine,"लयः [layḥ], [ली-अच्]","चिपकना,मिलाप,लगाव"
भग्न,bhagna,unknown,"भग्न [bhagna], p. p. [भञ्ज्-क्त]","टूटा हुआ, हड्डी टूटी हुई, टूटा फूटा, फटा-पुराना"
दिव्य,divya,adjective,"दिव्य [divya], a. [दिवि भवः यत्]","दैवी, स्वर्गीय, आकाशीय"
सार्ववेदस,saarvavedasa,masculine,"सार्ववेदसः [sārvavēdasḥ], One who gives away all his wealth at a sacrifice or sacred rite. -सम् A person's entire property.",जो किसी यज्ञ या अन्य पुण्यकार्य में अपना समस्त धन दे देता है
विनय,vinaya,adjective,"विनय [vinaya], a.","डाला हुआ, फेंका हुआ"
प्रतिदर्शन,pratidarshana,masculine,"प्रतिदर्शनम् [pratidarśanam], Seeing, perceiving.","देखना, प्रत्यक्ष करना"
प्रकम्पन,prakampana,adjective,"प्रकम्पन [prakampana], a. Causing to shake.",हिलाने वाला
लुण्डिका,lundikaa,feminine,"लुण्डिका [luṇḍikā], 1 A round mass or ball.","गोल पिंडी, गेंद"
अपस्पश,apaspasha,adjective,"अपस्पश [apaspaśa], a. Devoid of spies; शब्दविद्येव नो भाति राजनीतिरपस्पशा Śi.2.112 (where ˚शा also means without पस्पशा).",जिसके पास भेदिये न हो
वंह्,vamh,unknown,"वंह् [vaṃh], बंह् (बंह् [baṃh], 1 Ā. (बंहते, बंहित) To increase, grow. -Caus.).","बढ़ना, उगना"
उपस्तम्भ्,upastambh,unknown,"उपस्तम्भ् [upastambh], 5, 9 P. To prop, support (fig. also).","रोकना, गिरफ्तार करना"
उद्ग्रथन,udgrathana,masculine,"उद्ग्रथनम् [udgrathanam], The act of winding, binding; साभिवीक्ष्य दिशः सर्वा वेण्युद्ग्रथनमुत्तमम् (मणिम्) Rām.5.67.3.",बालों को संयुक्त करने के लिए पिन
आरण्यक,aaranyaka,adjective,"आरण्यक [āraṇyaka], a. [अरण्ये भवः वुञ्] Relating to or produced in a forest, wild, forest-born (usually with the words अध्याय, मनुष्य, न्याय, पथिन्, विहार, and हस्तिन् P.IV.2.129 Vārt.) -कः A forester...","वन संबंधी, वन में उत्पन्न, जंगली, जंगल में उत्पन्न"
विरोधन,virodhana,masculine,"विरोधनम् [virōdhanam], 1 Hindering, opposing, obstructing.","बाधा डालना, विध्न डालना, रुकावट डालना"
अन्तिम,antima,adjective,"अन्तिम [antima], a. [अन्ते भवः, अन्त डिमच्]",तुरन्त बाद आनेवाला
छुरी,chhurii,feminine,"छुरी [churī] छूरिका [chūrikā] छूरी [chūrī], छूरिका छूरी A knife.","चाकू,छूरी"
पापिष्ठ,paapishtha,adjective,"पापिष्ठ [pāpiṣṭha], a. Most sinful, worst, very wicked (superl. of पाप q. v.).","अत्यंत पापपूर्ण, अधम, दुष्टतम"
प्रसिद्ध,prasiddha,adjective,"प्रसिद्ध [prasiddha], p. p.","विश्रुत, विख्यात, मशहूर"
अटवि,atavi,feminine,"अटविः [aṭaviḥ] वी [vī], वी f. [अटन्ति चरमे वयसि मृगयाविहाराद्यर्थे वा यत्र; अट् अनि, वा ङीप्] A forest, wood; अटवीतो$टवीमाहीण्डमान; Ś.2. विघ्नध्वान्तनिवारणैकसरणिर्विघ्नाटवीहव्यवाट् ।","वन, जंगल"
विधूत,vidhuuta,adjective,"विधूत [vidhūta], p. p.","हिला हुआ, उथलपुथल हुआ, तरंगित"
मण्डूक,manduuka,masculine,"मण्डूकः [maṇḍūkḥ], [मण्डयति वर्षासमयं, मण्ड् ऊकण् Uṇ.4.42.]",मेंढक
उपसेव्,upasev,unknown,"उपसेव् [upasēv], 1 Ā. 1 To serve, worship, honour; वैरिणं नोप- सेवते Ms.4.133.","सेवा करना, पूजा करना, सम्मान करना"
दाक्षिण,daakshina,adjective,"दाक्षिण [dākṣiṇa], a. (-णी f.) [दक्षिणा प्रयोजनमस्य-अण्]",यज्ञीय दक्षिणा से सम्बद्ध अथवा उपहार से सम्बद्ध
आश्रम,aashrama,masculine,"आश्रमः [āśramḥ] मम् [mam], मम् [आ-श्रम् आधारे घञ् वृद्धयभावः]","पर्णशाला, कुटिया, कुटी, झोंपड़ी, सन्यासियों का आवास या कक्ष"
ठ,tha,masculine,"ठः [ṭhḥ], 1 An imitative sound, as of a metallic jar rolling down steps; रामाभिषेके मदविह्वलायाः कक्षा- च्च्युतो हेमघटस्तरुण्याः । सोपानमार्गे प्रकरोति शब्दं ठठं ठठं ठं ठठठं ठठं ठः Subhāṣ.",अनुकरणात्मक ध्वनि
निष्पेष,nishpesha,masculine,"निष्पेषः [niṣpēṣḥ] निष्पेषणम् [niṣpēṣaṇam], निष्पेषणम् 1 Rubbing together, grinding, bruising, pulverizing; भुजान्तरनिष्पेष Ve.3, Māl. 8.9.3.","मिलाकर रगड़ना, पीसना, चूर-चूर करना, कुचलना"
अवरक्षणी,avarakshanii,feminine,"अवरक्षणी [avarakṣaṇī], A rope for tying horses (Hariv.7.)",घोड़े को बांधने की रस्सी
