Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
विच्छाय,vichchhaaya,adjective,"विच्छाय [vicchāya], a.","निष्प्रभ, धुन्धला"
अभिकाङ्क्ष्,abhikaangksh,unknown,"अभिकाङ्क्ष् [abhikāṅkṣ], 1 U.","लालायित होना, कामना करना,"
बाहुदन्तक,baahudantaka,masculine,"बाहुदन्तकम् [bāhudantakam], A treatise on moral duties said to be composed or abridged by Indra.",नैतिक कर्तव्यों का स्मृति के रूप में निरूपण जिसके रचयति इन्द्र कहे जाते हैं
प्रस्पन्दन,praspandana,masculine,"प्रस्पन्दनम् [praspandanam], Palpitating, vibrating, trembling.","धड़्कन, थरथराहट, कंपकंपी"
प्रतिवेष्टित,prativeshtita,adjective,"प्रतिवेष्टित [prativēṣṭita], p. p. Rolled back, reverted.","प्रत्यावृत्त विपर्यस्त, पीछे की ओर मुदा हुआ"
अतिपातिन्,atipaatin,adjective,"अतिपातिन् [atipātin], a.","गति में आगे बढ़ जाने वाला, क्षिप्रतर"
चामरिन्,chaamarin,masculine,"चामरिन् [cāmarin], m. [चामर-इनि] A horse.",घोड़ा
प्रगल्भ्,pragalbh,adjective,"प्रगल्भ् [pragalbh], 1 Ā.",साहसी या आत्मविश्वासी होना
भार्गवी,bhaargavii,feminine,"भार्गवी [bhārgavī], 1 The Dūrvā grass.",दूब
पतयालु,patayaalu,adjective,"पतयालु [patayālu], a. Tending or prone to fall, liable to fall.","पतनोन्मुख, पतनशील"
अप्रधान,apradhaana,adjective,"अप्रधान [apradhāna], a. Subordinate, secondary, inferior; आवां तावदप्रधानौ H.2. -नम् (˚ता, ˚त्वम्)","अधीन,गौण,घटिया"
बहुक,bahuka,adjective,"बहुक [bahuka], a. Dear bought.",महंगा खरीदा हुआ
शुम्भ,shumbha,masculine,"शुम्भः [śumbhḥ], N. of a demon killed by Durgā. -Comp. -घातिनी, -मर्दिनी an epithet of Durgā.",एक राक्षस का नाम जिसे दुर्गा ने मार डाला था
सुरङ्ग,surangga,masculine,"सुरङ्गः [suraṅgḥ] ङ्गा [ṅgā], ङ्गा 1 A hole cut in a wall for the purpose of breaking into a house.",अच्छा रंग
धारयित्री,dhaarayitrii,feminine,"धारयित्री [dhārayitrī], The earth.",पृथ्वी
न्याय,nyaaya,masculine,"न्यायः [nyāyḥ], [नियन्ति अनेन; नि-इ घञ्]","प्रणाली, तरीका, रीति, नियम, पद्धति योजना"
ग्राम्य,graamya,adjective,"ग्राम्य [grāmya], a. [ग्राम-यत्]","गाँव से संबंध रखने वाला, गाँव में रहने का अभ्यस्त"
निर्णी,nirnii,unknown,"निर्णी [nirṇī], 1 P.",ले उड़ना
अभिशपन,abhishapana,masculine,"अभिशपनम् [abhiśapanam] शापः [śāpḥ], शापः 1 A curse, imprecation.","शाप,किसी का बुरा मानना"
निष्कल,nishkala,adjective,"निष्कल [niṣkala], a. inarticulate (a musical term); N.21.126.","अखंड, अविभक्त, समस्त"
ज्ञानमय,jnyaanamaya,adjective,"ज्ञानमय [jñānamaya], a.","ज्ञानयुक्त, चिन्मय"
मौक्य,maukya,masculine,"मौक्यम् [maukyam], [मूकस्य भावः ष्यञ्] Dumbness, muteness, speechlessness; अन्नहर्तामयावित्वं मौक्यं वागपहारकः Ms.11.51.","गूंगापन, मूकता, मौन"
प्रसर्पण,prasarpana,masculine,"प्रसर्पणम् [prasarpaṇam], 1 Going or moving forward, advancing.","चलना, सरकना, आगे बढ़ना"
कोणप,konapa,masculine,"कोणपः [kōṇapḥ], कौणप (कौणपः [kauṇapḥ], A goblin, demon; Mb.1.17.15; Māl.5. साहसी शोणतनयः कोपी कोणपविक्रमः Śiva. B.22.48. -Comp. -दन्तः an epithet of Bhīṣma.).","पिशाच, राक्षस"
कूड्य,kuudya,masculine,"कूड्यम् [kūḍyam], = कुष्य q. v.",दीवार
यन्त्रित,yantrita,adjective,"यन्त्रित [yantrita], p. p. [यन्त्र्-क्त]",भड़काया हुआ
शतधा,shatadhaa,indeclinable,"शतधा [śatadhā], ind.",सौ तरह से
मार्गक,maargaka,masculine,"मार्गकः [mārgakḥ], The month called मार्गशीर्ष.",मार्गशीर्ष का महीना
आमुष्यायण,aamushyaayana,adjective,"आमुष्यायण [āmuṣyāyaṇa], a. or -णः (-णी f.) [अमुष्य ख्यातस्यापत्यं नडा˚ फक् अलुक्] Well-born, a son or descendant of such a one; i. e. of an illustrious person or family; आमुष्या- यणो वै त्वमसि Śat. Br...","सत्कुल में उत्पन्न, ऐसे उच्चवंशीय व्यक्ति का पुत्र या सुविख्यात कुल में उत्पन्न"
अपशोक,apashoka,adjective,"अपशोक [apaśōka], a. Without sorrow or grief. -कः The Aśoka tree.",शोकरहित
वेदिका,vedikaa,feminine,"वेदिका [vēdikā], 1 A sacrificial altar or ground; इति प्रिये वादिनि वेदिकोदरी Rām. ch.2.57.",यज्ञभूमि या वेदी
अपराध्,aparaadh,unknown,"अपराध् [aparādh], 4, 5 P.","रुष्ट करना, ठेस पहुँचाना, पाप करना"
प्रोद्यत,prodyata,unknown,"प्रोद्यत [prōdyata], p. p.",उठाया हुआ
भयालु,bhayaalu,adjective,"भयालु [bhayālu], a. Timid, afraid.",भीरु कायर
संचिन्त्,samchint,adjective,"संचिन्त् [sañcint], 1 U.","सोचना, विचारना, विमर्श करना, चिन्तनरत होना"
संन्यस्,samnyas,unknown,"संन्यस् [sannyas], 4 P.","रखना,सामने लाना, जमा करना"
नाथवत्,naathavat,adjective,"नाथवत् [nāthavat], a.","सनाथ, जिसका कोई स्वामी या रक्षक हो"
भी,bhii,unknown,"भी [bhī], I. 3 P. (बिभेति, बिभाय-बिभयांचकार, अभैषीत्, भेष्यति, भीत)","डरना, भय खाना, भयभीत होना"
निरादिष्ट,niraadishta,adjective,"निरादिष्ट [nirādiṣṭa], a. Paid off as a debt; निरादिष्टधनश्चेत्तु प्रतिभूः स्यादलङ्घनः । स्वधनादेव तद्दद्यान्निरादिष्ट इति स्थितिः ॥ Ms.8.162.",जो वापिस कर दिया गया हो
अविक्षोभ्य,avikshobhya,adjective,"अविक्षोभ्य [avikṣōbhya], a. Invincible, that which cannot be disturbed; अविक्षोभ्याणि रक्षांसि सा विधूयोत्पतिष्यति Rām. 6.5.17.",जिसमें कोई हलचल न हो
अथर्वन्,atharvan,masculine,"अथर्वन् [atharvan], m. [अथ-ऋ-वनिप् शकन्ध्वादि˚ Tv.; probably connected with some word like athar fire]",अग्नि और सोम का उपासक पुरोहित
जीवित,jiivita,adjective,"जीवित [jīvita], p. p. [जीव् कर्तरि क्त]","जीता हुआ, विद्यमान, सजीव"
अनुकामीन,anukaamiina,adjective,"अनुकामीन [anukāmīna], a. [कामस्य सदृशम् अनुकामम्; ख प्रत्ययः; अनुकामं गामी यथेष्टं गन्ता इत्यर्थः P.V.2.11 Sk.] Going at will or pleasure; one who acts as he pleases; अनुकामीनतां त्यज Bk.5.15.",अपनी इच्छा के अनुसार काम करने वाला;-अनुकामीनतां त्यज-भट्टि०।
ओङ्कार,ongkaara,masculine,"ओङ्कारः [ōṅkārḥ], See under ओम्.",पवित्र ध्वनि ॐ
पर्यक्,paryak,indeclinable,"पर्यक् [paryak], ind. Round about, in every direction; उत्पेतुरुत् पाततमाः सहस्रशो भयावहा दिवि भूमौ च पर्यक् Bhāg.4.5.12.","चारों ओर, सब दिशाओं में"
उदाहार,udaahaara,masculine,"उदाहारः [udāhārḥ], 1 An example or illustration.",मिसाल या दृष्टांत
अचिन्तित,achintita,adjective,"अचिन्तित [acintita], a. Not thought of, unexpected, sudden; ˚उपनतम् occurring unexpectedly; ˚तो वधो$ज्ञानां मीनानामिव जायते Pt.2.3.","अप्रत्याशित, आकस्मिक"
अभिमुख,abhimukha,adjective,"अभिमुख [abhimukha], a. (-खी f.) [अभिगतं मुखं यस्य अभेर्मुखम् P.VI.2. 185]","जो किसी की ओर मुख किये हे हो,की ओर,किसी की ओर मुड़ा हुआ,सामने"
तुरीय,turiiya,adjective,"तुरीय [turīya], a.",चौथा
श्रोतृ,shrotri,masculine,"श्रोतृ [śrōtṛ], m. A hearer.",सुनने वाला
असमीचीन,asamiichiina,adjective,"असमीचीन [asamīcīna], a. Erroneous, wrong; तस्माद् यस्य च दुष्टं करणं यत्र च मिथ्येति प्रत्ययः स एवासमीचीनः प्रत्ययो नान्य इति । ŚB. on Ms.1.1.5.","जो सही न हो, त्रुटिपूर्ण"
हट्,hat,unknown,"हट् [haṭ], 1 P. (हटति, हटित) To shine, be bright.","चमकना, उज्जल होना"
आवास्य,aavaasya,adjective,"आवास्य [āvāsya], a. Inhabited by, full of; आत्मावास्यमिदं विश्वम् Bhāg.8.1.1. ईशावास्यमिदं सर्वम् Īśop.1.","बसा हुआ, व्याप्त, पूर्ण, भरा हुआ"
गव,gava,masculine,"गव [gava], (A substitute for गो at the beginning of certain compounds, especially before words beginning with vowels or as the second member of Dvigu comp.; पञ्चगवम् five cows; गवाकृति cow-shaped).","कुछ समासों, विशेषकर स्वरों से आरम्भ होने वाले शब्दों के आरम्भ में ‘गो’ शब्द का स्थानापन्न पर्याय"
शर्या,sharyaa,feminine,"शर्या [śaryā], 1 Night.",रात्रि
जतुक,jatuka,masculine,"जतुकम् [jatukam], Lac.","लाख, महावर"
वाद्य,vaadya,masculine,"वाद्यम् [vādyam], [वद्-णिच् यत्]",बाजा
आकष,aakasha,masculine,"आकषः [ākaṣḥ], A touch-stone,",कसौटी
चक्र,chakra,masculine,"चक्रम् [cakram], [क्रियते अनेन, कृ घञर्थे क नि˚ द्वित्वम् Tv.]",गाड़ी का पहिया
विनिश्चि,vinishchi,adjective,"विनिश्चि [viniści], 5 U. To determine, resolve, ascertain; विनिश्चेतुं शक्यो न सुखमिति वा दुःखमति वा U.1.35.","निर्धारण करना, संकल्प करना, निश्चय करना"
अविविक्त,avivikta,adjective,"अविविक्त [avivikta], a.","जिसकी छानबीन न की गई हो, जो भली भांति विचारा न गया हो"
हैम,haima,adjective,"हैम [haima], a. (-मी f.) [हिम-हेमन्-अण्]","शीतल, जाड़े का, जाड़े में होने वाला, ठंडा"
श्यामल,shyaamala,adjective,"श्यामल [śyāmala], a. Black, dark-blue, blackish; दशरथतनयं श्यामलं शान्तमूर्तिम् Rāma-rakṣā 26; निशितश्यामलस्निग्धमुखी शक्तिः Ve.4; Śi.18.36; श्यामलानोकश्रीः U.2.25.","काला, गहरीनीला, साँवला"
चुञ्चु,chunychu,adjective,"चुञ्चु [cuñcu], a. (At the end of certain comp.) Celebrated, famous, renowned, skilled in; तेन वित्तश्चुञ्चुप्चणपौ P.V. 2.26; अक्षर˚, चार˚ &c. रामो$पि मायाचणमस्त्रचुञ्चुः Bk.2.32.-ञ्चुः The musk-rat o...","प्रख्यात, प्रसिद्ध, विश्रुत, कुशल"
दभ्,dabh,unknown,"दभ् [dabh] दन्भ् [danbh], दन्भ् I. 1, 5 P. (दभति or दभ्नोति, दब्ध; desid. धिप्सति, धीप्सति, दिदभिषति)","क्षति पहुँचाना, चोट पहुँचाना"
श्र,shra,unknown,"श्रम् [śram], 4 P. (श्राम्यति, श्रान्त)","चेष्टा करना, उद्योग करना, मेहनत करना, परिश्रम करना"
निष्क्री,nishkrii,unknown,"निष्क्री [niṣkrī], 9 U. To buy off, redeem, ransom.","कुछ देकर पिंड छुड़ाना, दाम देकर फिर से खरीद लेना, निस्तार करना"
प्रतिवद्,prativad,unknown,"प्रतिवद् [prativad], 1 P.","उत्तर में बोलना, जबाब देना"
अभिरूप,abhiruupa,adjective,"अभिरूप [abhirūpa], a. [अभिगतो रूपम्]","अनुरूप,समनुरूप,उपयुक्त"
ऐरेय,aireya,masculine,"ऐरेयम् [airēyam], [इरायाम् अन्ने भवं ढक्] Spirituous liquor (prepared from food).",मदिरा
दैविन्,daivin,masculine,"दैविन् [daivin], m. An astrologer.",ज्योतिषी
मय,maya,adjective,"मय [maya], a. (-यी f.) An affix used to indicate 'made of', 'consisting or composed of', 'full of'; कनकमय, काष्ठमय, तेजोमय, जलमय &c.","‘पूर्ण’ ‘से युक्त’ ‘संरचित’ ‘से बना हुआ’ अर्थ को प्रकट करने वाला तद्धित का प्रत्यय, उदा* कनकमय,काष्ठमय, तेजोमय और जलमय आदि"
श्रुव,shruva,masculine,"श्रुवः [śruvḥ], 1 A sacrifice.",यज्ञ
अप्रकाश,aprakaasha,adjective,"अप्रकाश [aprakāśa], a.","न चमकने वाला,अंधकारपूर्ण,प्रकाशरहित"
ख्या,khyaa,unknown,"ख्या [khyā], 2 P. (m. also in non-conjugational tenses) (ख्याति, ख्यात) To tell, declare, communicate with dat. of person. -Pass. (ख्यायते)","कहना, घोषणा करना, समाचार देना"
तन्तुन,tantuna,masculine,"तन्तुनः [tantunḥ] णः [ṇḥ], णः A shark.",घड़ियाल
कार्पटिक,kaarpatika,masculine,"कार्पटिकः [kārpaṭikḥ], [कर्पट-ठक्]",तीर्थयात्री
श्वल्ल्,shvall,unknown,"श्वल्ल् [śvall], 1 P. (श्वल्लति) To run; see श्वल्.",दौड़ना
अहन्,ahan,masculine,"अहन् [ahan], n. [न जहाति न त्यजति सर्वथा परिवर्तनं, न हा-कनिन् Uṇ.1.55.] (Nom. अहः, अह्नी-अहनी, अहानि, अह्ना, अहोभ्याम् &c.; अहरिति हन्ति पाप्मानं जहाति च Śat. Br.)",दिन
निवाप,nivaapa,masculine,"निवापः [nivāpḥ], 1 Seed, grain, seed-corn.","बीज, अनाज, बीज के रक्खे हुए दान"
लुब्धक,lubdhaka,masculine,"लुब्धकः [lubdhakḥ], 1 A hunter, fowler; मृगमीनसज्जनानां तृणजल- संतोषविहितवृत्तीनाम् । लुब्धकधीवरपिशुना निष्कारणवैरिणो जगति ॥ Bh.2.61.","शिकारी, बहेलिया"
कर्णी,karnii,feminine,"कर्णी [karṇī], 1 An arrow of a particular shape (barbed arrow).",पंखदार या विशेष आकार का बाण
उपाक्र,upaakra,unknown,"उपाक्रम् [upākram], 1 P. To fall upon, attack.","टूट पड़ना, हमला बोलना"
वहल,vahala,adjective,"वहल [vahala], a. बहल (बहल [bahala], a. [बंह्-कलच् नलोपश्च]). -लः A raft, boat.","अत्यधिक, यथेष्ट, प्रचुर, पुष्कल, बहुविध, महान, मजबूत"
सणसूत्र,sanasuutra,masculine,"सणसूत्रम् [saṇasūtram], A hempen cord or thread.",सन की बनी डोरी या रस्सी
व्रीडित,vriidita,unknown,"व्रीडित [vrīḍita], (Sometimes; व्रीलित also) p. p. Put to shame, ashamed, abashed; व्रीलित इवास्मि राजानं द्रष्टुम् Pañcharātram 2.","लज्जित किया गया, शर्मिन्दा, लज्जाशील"
सौवाध्यायिक,sauvaadhyaayika,adjective,"सौवाध्यायिक [sauvādhyāyika], a. (-की f.) Belonging to sacred study (or स्वाध्याय q. v.).","स्वाध्यायसम्बन्धी, स्वाध्यायी"
आर्त,aarta,adjective,"आर्त [ārta], a. [आ-ऋ-क्त]","कष्ट प्राप्त, उपहत, पीड़ीत"
अग्रे,agre,adjective,"अग्रे [agrē], adv.","के सामने, पहले"
अवमृज्,avamrij,unknown,"अवमृज् [avamṛj], 2 P.","मलना, गुदगुदाना"
विकुण्ठ,vikuntha,masculine,"विकुण्ठ [vikuṇṭha], a.",विष्णु का स्वर्ग
प्रहर्ष,praharsha,masculine,"प्रहर्ष [praharṣa] र्षि [rṣi] णी [ṇī], (र्षि) णी 1 Turmeric.","अत्यधिक हर्ष, अत्यानन्द, उल्लास"
रोलम्ब,rolamba,masculine,"रोलम्बः [rōlambḥ], A bee; महानेवालम्बो हरिनयनरोलम्बवरयोः Lakṣmīlaharī 19; तस्या रोलम्बावली केशजालम् Dk.; Bv.1.118.",भौंरा
व्री,vrii,unknown,"व्री [vrī], I. 9 P. (व्रिणाति-व्रीणाति) To choose, select; cf. वृ. -II. 4 Ā. (व्रीयते, व्रीण)","छांटना, चुनना"
प्रथुक,prathuka,masculine,"प्रथुकः [prathukḥ], Rice parched and flattened (of. पृथुक); (Mar. पोहे).","चिउड़े, चौले"
प्रावेशन,praaveshana,adjective,"प्रावेशन [prāvēśana], a. (-ना f.) To be given of done on entering. -नम् A workshop, manufactory.",प्रवेश करने पर जो दिया जाय या किया जाय
जप,japa,masculine,"जप [japa], a. [जप्-कर्तरि अच्] Muttering, whispering.","मन ही मन प्रर्थना करना, धीमे स्वर से किसी मन्त्र को बार-बार दुहराना"
शय,shaya,adjective,"शय [śaya], a. (-या, -यी f.) [शी-अच्] Lying down, sleep ing (usually at the end of comp.); रात्रिजागरपरो दिवाशयः R.19.34; so उत्तानशय, पार्श्वशय, वृक्षेशय, विलेशय &c.","लेटने वाला, सोने वाला"
ईरिण,iirina,adjective,"ईरिण [īriṇa], a. [ईर्-इनन्] Desert, barren. -णम् A desert, barren soil; मुहूर्तमिव निःशब्दमासीदीरिणसंनिभम् Rām.1.55.24.","मरुस्थल, बंजर"
सेव्य,sevya,adjective,"सेव्य [sēvya], a. [सेव्-ण्यत्]","सेवा किये जाने के योग्य, टहल किये जाने के योग्य"
सर्पिष्मत्,sarpishmat,adjective,"सर्पिष्मत् [sarpiṣmat], a. Dressed with clarified butter.",घी युक्त
प्रहत,prahata,adjective,"प्रहत [prahata], p. p.","घायल, वध किया हुआ, मारा हुआ"
परिच्छिन्न,parichchhinna,adjective,"परिच्छिन्न [paricchinna], p. p.","काटा हुआ, विभक्त"
यदि,yadi,indeclinable,"यदि [yadi], ind.","अगर, जो"
निश्,nish,feminine,"निश् [niś], 1 P. (नेशति) To lose oneself in abstract meditation, meditate upon.",रात
नवक,navaka,masculine,"नवक [navaka], a. consisting of nine. -कम् The aggregate of nine.","नौ वस्तुओं का समूह, नौ का गुच्छा"
खानिक,khaanika,masculine,"खानिकः [khānikḥ] कम् [kam], कम् A hole in a wall, breach.","दीवार में किया हुआ छेद, दरार, तरेड़"
अज,aja,adjective,"अज [aja], a. [न जायते; जन्-ड. न. त.] Unborn, existing from all eternity; यो मामजमनादिं च वेत्ति लोकमहेश्वरम् Bg.1. 3; अजस्य गृह्णतो जन्म R.1.24.","अजन्मा, अनादि"
निर्वापित,nirvaapita,adjective,"निर्वापित [nirvāpita], a.",बुझाया हुआ
चार्मिक,chaarmika,adjective,"चार्मिक [cārmika], a. (-की f.) [चर्मणा निर्वृत्तः ठक्] Made of leather; Ms.8.289",चमड़े का बना हुआ
आन्तर्गणिक,aantarganika,adjective,"आन्तर्गणिक [āntargaṇika], a. (-की f.) [अन्तर्गणं भवः ठञ्] Included, comprised (as in a class, troop &c.).",सम्मिलित
बौद्ध,bauddha,adjective,"बौद्ध [bauddha], a. (-द्धी f.) [बुद्ध-द्धि अण्]",बुद्धि या समझ से संबंध रखने वाला
भिक्षण,bhikshana,masculine,"भिक्षणम् [bhikṣaṇam], [भिक्ष्-ल्युट्] Begging, begging alms, mendicancy.","मांगना, भिक्षा मांगना, भिक्षावृत्ति, भिखारीपन"
औद्दालक,auddaalaka,masculine,"औद्दालकम् [auddālakam], [उद्दालेन निर्वृत्तं अण् संज्ञायां कन्] A bitter and acrid substance like honey; प्रायो वल्मीकमध्यस्थाः कपिलाः स्वल्पकीटकाः । कुर्वन्ति कपिलं स्वल्पं तत्स्यादौद्दालकं मधु ॥",मधु जैसा एक पदार्थ जो तीखा और कड़वा होता है।
विधू,vidhuu,adjective,"विधू [vidhū], 5, 1 U., 6 P.","हिलाना, इधर-उधर करना, कंपाना"
यमवत्,yamavat,adjective,"यमवत् [yamavat], a.",आत्म नियंत्रित
स्थिति,sthiti,feminine,"स्थितिः [sthitiḥ], f. [स्था-क्तिन्]","खड़े होना, रहना, टिकना, डटे रहना, जीवित होना, ठहरना, निवासस्थान"
लुञ्च्,lunych,unknown,"लुञ्च् [luñc], 1 P. (लुञ्चति, लुञ्चित)","तोड़ना, खींचना, छीलना, काटना"
अरिक्थभाज्,arikthabhaaj,adjective,"अरिक्थभाज् [arikthabhāj] अरिक्थीय [arikthīya], अरिक्थीय a. Not entitled to a share in the aneestral property (as an heir incapacitated by impotence &c.).",जो पैतृक संपत्ती में हिस्सा पाने का अधिकारी न हो
कन्धि,kandhi,masculine,"कन्धिः [kandhiḥ], [कं शिरो जलं वा धीयते$त्र] The ocean. -f. The neck.",समुद्र
परा,paraa,indeclinable,"परा [parā], ind. A prefix to verbs and nouns in the sense of 'away, back, in an inverted order, aside, towards'. According to G. M. the senses of परा are:",‘दूर’ ‘पीछे’ ‘उल्टे क्रम से’ ‘एक ओर’ ‘की ओर’ अर्थो को प्रकट करने के लिए धातु या संज्ञा से पूर्व लगने वाला उपसर्ग
सोढ,sodha,unknown,"सोढ [sōḍha], p. p. [सह्-क्त इडभावः]","सहन किया गया, भुगता गया, बर्दाश्त किया गया, झेला गया"
चक्रिय,chakriya,adjective,"चक्रिय [cakriya], a. Going in a carriage, being on a journey.","गाड़ी में बैठ कर जाने वाला, यात्रा करने वाला"
उपरोधन,uparodhana,masculine,"उपरोधनम् [uparōdhanam], Obstruction, impediment &c.; see उपरोध.","अवबाधा, रुकावट आदि"
करम्भ,karambha,masculine,"करम्भ [karambha], a.",दही मिला आटा या अन्य भोज्यपदार्थ
प्रादेशन,praadeshana,masculine,"प्रादेशनम् [prādēśanam], A gift, donation.","भेंट, दान"
क्षारण,kshaarana,masculine,"क्षारणम् [kṣāraṇam] णा [ṇā], णा Accusing, especially of adultery","दोषारोपण, विशेषकर व्याभिचार का"
संबाध्,sambaadh,unknown,"संबाध् [sambādh], 1 Ā.","कष्ट देना, सताना"
वटक,vataka,masculine,"वटकः [vaṭakḥ], 1 A kind of cake.","बाटी, एक प्रकार की रोटी"
प्रणी,pranii,unknown,"प्रणी [praṇī], 1 P.",नेतृत्व करना
भ्रातृ,bhraatri,masculine,"भ्रातृ [bhrātṛ], m. [भ्राज्-तृच् पृषो˚; cf. Uṇ.2.96.]","भाई, सहोदर"
विजात,vijaata,adjective,"विजात [vijāta], p. p.","नीच कुलोत्पन्न, वर्णसंकर"
महत्,mahat,adjective,"महत् [mahat], a. [मह्-अति] (compar. महीयस्; superl. महिष्ठ; nom. महान्, महान्तौ, महान्तः; acc. pl. महतः)","बड़ा, वृहद्, विस्तृत, विशाल, विस्तीर्ण"
इस्,is,indeclinable,"इस् [is], ind. An interjection of anger, pain, or sorrow.","क्रोध, पीड़ा और शोक की भावना को अभिव्यक्त करने वाला विस्मयादि द्योतक अव्यय"
अनुरथ्या,anurathyaa,masculine,"अनुरथ्या [anurathyā], [रथ्यामन्वायतं स्थिता] A foot-path, a by-road, the margin of a street, (a path along the margin of a road); प्रकाशीकरणार्थं च निशागमनशङ्कया । दीपवृक्षांस्तथा चक्रुरनु रथ्यासु सर्...","पगडंडी, उपमार्ग"
गण्डलिन्,gandalin,masculine,"गण्डलिन् [gaṇḍalin], m. N. of Śiva.",शिव
स्कन्धिक,skandhika,masculine,"स्कन्धिकः [skandhikḥ], An ox trained to carry burdens; cf. स्कन्धवाह.",बोझा ढोने के लिए सधाया हुआ बैल
लू,luu,adjective,"लू [lū], 9 U. (लुनाति, लुनीते, लून; caus. लावयति-ते; desid. लुलूषति-ते)","काटना, कतरना, चुटकी से पकड़ना, वियुक्त करना, विभक्त करना. तोड़ना, लुनाई करना, चुनना"
किरात,kiraata,masculine,"किरातः [kirātḥ], [किरं पर्यन्तभूमिं अतति गच्छतीति किरातः]","एक पतित पहाड़ी जाति जो शिकार करके अपनी जीविका चलाती है, पहाड़ी"
निय,niya,unknown,"नियम् [niyam], 1 P.","नियंत्रित करना, दमन करना, रोकना, वश में करना, शासन करना"
शिल्,shil,unknown,"शिल् [śil], 6 P. (शिलति) To glean.","शिलोंछन, सिला चुगना, बालें इकट्ठा करना"
माघवत,maaghavata,adjective,"माघवत [māghavata], a. (-ती f.) Belonging to Indra. -ती The east. -Comp. -चापम् the rainbow; (धत्ते) मेघस्य माघवत- चापधरस्य लक्ष्मीम् U.5.11.",इन्द्र से संबन्ध रखने वाला
उत्पीड्,utpiid,unknown,"उत्पीड् [utpīḍ], 1 P.","मसलना, घिसना, रगड़ना"
धृत,dhrita,unknown,"धृत [dhṛta], a. (At the end of comp.) Possessing, bearing, holder, bearer &c.","थामा गया, ले जाया गया, वहन किया गया, सहारा दिया गया"
शोणिमन्,shoniman,masculine,"शोणिमन् [śōṇiman], m. Redness; उरुक्रमस्याधरशोणशोणिमा Bhāg. 1.11.2.","लालिमा, लाली"
अब्जा,abjaa,feminine,"अब्जा [abjā], m. (ब्जाः) Ved. Born in water (P.III.2. 67;VI.4.21.) अब्जा गोजा ऋतजा अद्रिजा ऋतम् Rv.4.4.5.f. A pearl-oyster.",सीपी
अघ्,agh,unknown,"अघ् [agh] अङ्घ् [aṅgh], अङ्घ् q. v. -(1 U.) To wrong, sin.","बुरा करना, पाप करना"
द्वय,dvaya,adjective,"द्वय [dvaya], a. (-यी f.)","दोहरा, दुगुना, दो प्रकार का, दो तरह का"
उद्वासन,udvaasana,masculine,"उद्वासनम् [udvāsanam], 1 Expelling, banishing.","बाहर निकालना, निर्वासित कर देना"
अपलप्,apalap,unknown,"अपलप् [apalap], 1 P.","मुकरना,स्वीकार नहीं करना,इन्कार कर देना"
समावर्तन,samaavartana,masculine,"समावर्तनम् [samāvartanam], 1 Return.",वापसी
दैविक,daivika,adjective,"दैविक [daivika], a. (-की f.) [देव-ठक्] Relating to the gods, divine; अहोरात्रे विभजते सूर्यो मानुषदैविके Ms.1.65;8.49.-कम् An inevitable accident.","देवताओं से सम्बन्ध रखने वाला, दिव्य"
पिष्टात,pishtaata,masculine,"पिष्टातः [piṣṭātḥ] पिष्टातकः [piṣṭātakḥ], पिष्टातकः Fragrant powder (पिष्टातः पटवासकः Ak.); वृष्ट्या पिष्टातकस्य द्युतिमिह मलये मेरुतुल्यां दधानः Nāg.2. 13. (This powder is sprinkled over each other a...",सुगंधयुक्त या खुशबूदार चूर्ण
लालस,laalasa,adjective,"लालस [lālasa], a. Ardently longing for, eagerly desirous of, hankering after; प्रणामलालसाः K.14; ईशानसंदर्शनलाल- सानाम् Ku.7.56; Śi.4.6.","अत्यंत लालायित, बहुत इच्छुक, आतिर"
प्राच्य,praachya,adjective,"प्राच्य [prācya], a. [प्राचि भवः यत्]",सामने से स्थित या विद्यमान
व्याकूति,vyaakuuti,feminine,"व्याकूतिः [vyākūtiḥ], f. Fraud, disguise, deception.","जालसाजी, छद्मवेश, धोखा"
पिण्डित,pindita,adjective,"पिण्डित [piṇḍita], a. [पिण्ड्-क्त]",दबा दबा कर बनाया गया गोला या पिण्डा
करम्ब,karamba,adjective,"करम्ब [karamba] करम्बित [karambita], करम्बित a. [कृ-अम्बच्; Uṇ.4.82.] Mixed, intermingled, variegated; प्रकाममादित्यमवाप्य कण्टकैः कर- म्बितामोदभरं विवृण्वती N.1.115,85; स्फुटतरफेनकदम्बकरम्बित- मिव यम...","मिश्रित मिला जुआ, विचित्र, रंग-बिरंगा"
प्रथिमन्,prathiman,masculine,"प्रथिमन् [prathiman], m. Breadth, greatness, extension, magnitude; प्रथिमानं दधानेन जघनेन घनेन सा Bk.4.17; (गुणाः) प्रारम्भसूक्ष्माः प्रथिमानमापुः R.18.49; Mv.5.15.","चौड़ाई, विशालता, विस्तार, महत्ता"
प्रग्रह्,pragrah,unknown,"प्रग्रह् [pragrah], 9 U.","लेना, पकड़ लेना"
चक्राकी,chakraakii,feminine,"चक्राकी [cakrākī] चक्राङ्की [cakrāṅkī], चक्राङ्की A goose.",हंसिनी
वृषिन्,vrishin,masculine,"वृषिन् [vṛṣin], m. A peacock.",मोर
अरित्र,aritra,masculine,"अरित्र [aritra], a. [गच्छत्यनेन; ऋ-इत्र P.III.2.184.] Ved.",डांड
